datetime,open,high,low,close,volume
2025-12-29 14:25:00,1403.01,1403.13,1403.0,1403.01,53.0
2025-12-29 14:26:00,1403.0,1403.32,1402.89,1402.9,70.0
2025-12-29 14:27:00,1402.9,1402.9,1402.79,1402.8,62.0
2025-12-29 14:28:00,1402.73,1402.74,1402.7,1402.7,91.0
2025-12-29 14:29:00,1402.65,1402.65,1402.18,1402.2,241.0
2025-12-29 14:30:00,1402.31,1402.71,1402.25,1402.38,118.0
2025-12-29 14:31:00,1402.38,1402.9,1402.3,1402.88,127.0
2025-12-29 14:32:00,1402.89,1402.91,1402.85,1402.91,99.0
2025-12-29 14:33:00,1402.91,1403.33,1402.89,1403.33,79.0
2025-12-29 14:34:00,1403.35,1403.37,1402.88,1402.9,82.0
2025-12-29 14:35:00,1402.88,1402.88,1402.38,1402.4,91.0
2025-12-29 14:36:00,1402.4,1402.41,1402.25,1402.25,120.0
2025-12-29 14:37:00,1402.25,1402.3,1402.23,1402.27,81.0
2025-12-29 14:38:00,1402.22,1402.36,1402.2,1402.35,125.0
2025-12-29 14:39:00,1402.33,1403.02,1402.28,1402.58,134.0
2025-12-29 14:40:00,1402.58,1402.84,1402.2,1402.26,100.0
2025-12-29 14:41:00,1402.26,1402.31,1402.25,1402.26,161.0
2025-12-29 14:42:00,1402.21,1402.31,1402.21,1402.31,96.0
2025-12-29 14:43:00,1402.29,1402.8,1402.29,1402.75,102.0
2025-12-29 14:44:00,1402.38,1402.76,1402.34,1402.44,67.0
2025-12-29 14:45:00,1402.71,1403.0,1402.34,1402.73,99.0
2025-12-29 14:46:00,1402.74,1402.74,1402.35,1402.4,55.0
2025-12-29 14:47:00,1402.4,1402.49,1402.35,1402.36,120.0
2025-12-29 14:48:00,1402.32,1402.34,1402.18,1402.18,142.0
2025-12-29 14:49:00,1402.19,1402.23,1402.01,1402.01,169.0
2025-12-29 14:50:00,1402.01,1402.05,1401.28,1401.28,453.0
2025-12-29 14:51:00,1401.33,1401.98,1401.01,1401.05,402.0
2025-12-29 14:52:00,1401.05,1401.31,1401.05,1401.31,144.0
2025-12-29 14:53:00,1401.2,1401.89,1401.2,1401.27,223.0
2025-12-29 14:54:00,1401.26,1402.26,1401.26,1402.26,218.0
2025-12-29 14:55:00,1402.0,1402.24,1401.5,1401.5,155.0
